GEOID,District
17031820901,Southwest Suburbs
17031820902,Southwest Suburbs
17031821001,Southwest Suburbs
17031821002,Southwest Suburbs
17031821101,Southwest Suburbs
17031821102,Southwest Suburbs
17031820700,West Suburbs
17031820800,West Suburbs
17031812100,West Suburbs
17031812200,West Suburbs
17031812301,West Suburbs
17031812302,West Suburbs
17031812400,West Suburbs
17031812500,West Suburbs
17031812600,West Suburbs
17031812700,West Suburbs
17031812801,West Suburbs
17031812802,West Suburbs
17031812900,West Suburbs
17031813000,West Suburbs
17031813100,West Suburbs
17031813200,West Suburbs
17031807800,North Suburbs
17031807700,North Suburbs
17031807300,North Suburbs
17031807000,North Suburbs
17031806900,North Suburbs
17031807600,North Suburbs
17031807500,North Suburbs
17031807400,North Suburbs
17031807200,North Suburbs
17031807100,North Suburbs
17031806801,North Suburbs
17031806802,North Suburbs
17031806700,North Suburbs
17031810000,North Suburbs
17031810100,North Suburbs
17031810200,North Suburbs
17031810301,North Suburbs
17031810302,North Suburbs
17031808800,North Suburbs
17031808900,North Suburbs
17031809000,North Suburbs
17031809100,North Suburbs
17031809200,North Suburbs
17031809300,North Suburbs
17031809401,North Suburbs
17031809402,North Suburbs
17031809500,North Suburbs
17031809600,North Suburbs
17031809700,North Suburbs
17031809800,North Suburbs
17031809900,North Suburbs
17031808702,North Suburbs